Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-04T11:45:59.432Z","Included","composer-1","Yes","0","0","0","0","0","0.00"
"2025-12-04T11:45:53.553Z","Included","composer-1","Yes","0","0","0","0","0","0.00"
"2025-12-04T11:45:48.542Z","Included","composer-1","Yes","315","0","66304","61","66680","0.02"
"2025-12-04T11:45:43.052Z","Included","composer-1","Yes","576","0","65600","170","66346","0.02"
"2025-12-04T11:45:37.584Z","Included","composer-1","Yes","1466","0","64096","81","65643","0.02"
"2025-12-04T11:45:20.585Z","Included","composer-1","Yes","56013","83466","8032","2962","150473","0.10"
"2025-12-04T11:41:17.724Z","Included","claude-4.5-opus-high","Yes","1559","0","83348","140","85047","0.04"
"2025-12-04T11:41:12.592Z","Included","claude-4.5-opus-high","Yes","3091","0","80257","1439","84787","0.07"
"2025-12-04T11:41:08.936Z","Included","claude-4.5-opus-high","Yes","225","217","80032","121","80595","0.03"
"2025-12-04T11:38:17.462Z","Included","claude-4.5-opus-high","Yes","247","145","79785","82","80259","0.03"
"2025-12-04T11:36:12.672Z","Included","claude-4.5-opus-high","Yes","267","153","79518","96","80034","0.03"
"2025-12-04T11:32:38.075Z","Included","claude-4.5-opus-high","Yes","437","158","79081","111","79787","0.03"
"2025-12-04T11:31:39.613Z","Included","claude-4.5-opus-high","Yes","2443","0","76638","439","79520","0.05"
"2025-12-04T11:31:30.487Z","Included","claude-4.5-opus-high","Yes","242","0","76396","2324","78962","0.07"
"2025-12-04T11:31:18.835Z","Included","claude-4.5-opus-high","Yes","6501","0","69895","148","76544","0.06"
"2025-12-04T11:31:18.024Z","Included","claude-4.5-opus-high","Yes","0","0","0","0","0","0.00"
"2025-12-04T11:31:10.383Z","Included","claude-4.5-opus-high","Yes","428","0","69467","219","70114","0.03"
"2025-12-04T11:31:06.479Z","Included","claude-4.5-opus-high","Yes","3556","210","65911","119","69796","0.04"
"2025-12-04T11:30:12.178Z","Included","claude-4.5-opus-high","Yes","971","2469","64940","1089","69469","0.06"
